Device,Type,Station,R,V,T,VS,PPV,Q,Dist,SD,freq_R,freq_V,freq_T,Time,Date,db,hz,Free_Face
W1510,Test,97.9,4.191,2.667,5.588,6.223,5.588,6.5,96.25,37.752,103.5,44.38,91.31,16:31,6/12/2013,116,6.25,Yes
W4282,Test,Pipeline,0.762,0.889,1.016,1.397,1.016,6.5,194.18,76.164,37,28,1,16:30,6/12/2013,106,7.5,Yes
W1510,Test,97.9,8.255,2.54,8.89,9.144,8.89,13,101.96,28.279,103.19,44.25,91.25,16:32,6/12/2013,116,5.06,Yes
W4282,Test,Pipeline,0.889,1.143,1.905,2.032,1.905,13,200.26,55.542,36.63,43.38,48.38,16:31,6/12/2013,106,5.63,Yes
W1510,Test,97.9,11.557,8.128,13.843,17.97,13.843,8.5,98.13,33.658,85.25,43.88,85.63,16:33,6/12/2013,137,42.31,Yes
INS.,Test,73.5,5.06,4.52,4.46,6.32,5.06,8.5,122.49,42.014,26.4,43.9,43.4,16:33,6/12/2013,130.5,2.25,Yes
W4282,Test,Pipeline,2.286,2.032,2.032,2.794,2.286,8.5,195.87,67.183,34.75,43.25,104.13,16:33,6/12/2013,126,42.5,Yes
W1510,Test,97.9,3.429,2.159,4.064,5.207,4.064,4.5,94.37,44.486,60.13,43.56,43.19,17:05,6/12/2013,138,50.13,Yes
INS.,Test,73.5,3.91,1.87,3.02,4.11,3.91,4.5,119.11,56.149,28.1,43.5,33.5,17:05,6/12/2013,132.4,3.88,Yes
W4282,Test,Pipeline,0.889,0.889,1.27,1.524,1.27,4.5,192.82,90.896,40.75,43.88,103.75,17:05,6/12/2013,127,1.63,Yes
W1510,Test,97.9,5.207,1.905,3.556,5.588,5.207,8.5,95.34,32.701,73.19,39.56,105.88,17:17,6/12/2013,120,6.56,Yes
INS.,Test,73.5,4.1,2.29,2.67,4.74,4.1,8.5,119.82,41.098,24.1,23.3,35.9,17:17,6/12/2013,115,2.75,Yes
W4282,Test,Pipeline,0.889,0.889,1.143,1.397,1.143,8.5,193.34,66.315,36,27.88,1,17:16,6/12/2013,106,15.13,Yes
W1510,Test,97.9,6.477,4.191,6.985,7.874,6.985,14.5,93.34,24.512,53.44,42.44,42.5,17:42,6/12/2013,123,3.81,Yes
INS.,Test,73.5,5.18,3.33,5.57,5.89,5.57,14.5,117.83,30.944,35.4,43.9,38.5,17:42,6/12/2013,117.2,2.38,Yes
W4282,Test,Pipeline,2.413,1.778,2.032,2.921,2.413,14.5,191.37,50.256,37.13,42.88,103,17:42,6/12/2013,112,4.13,Yes
W4282,Test,Pipeline,1.905,2.159,3.556,3.683,3.556,16.5,184.48,45.416,38.13,41.63,109.25,14:50,7/12/2013,125,2.75,Yes
W4282,Test,Pipeline,3.429,4.318,3.937,4.572,4.318,18.5,179.54,41.742,40.5,85.5,41.88,15:27,7/12/2013,118,2.63,Yes
W4282,Test,Pipeline,3.175,3.302,4.064,5.207,4.064,18.5,185.06,43.026,30.13,55.5,26,15:49,7/12/2013,124,6.5,Yes
INS,Production,Pipeline,3.17,1.25,1.95,3.28,3.17,6.5,192.75,75.6,128,52.1,62.5,12:57,11/01/2014,114.2,2.5,Yes
INS,Production,Pipeline,5.78,2.29,3.14,5.87,5.78,10.5,182.4,56.29,37.3,29.5,135,13:21,11/01/2014,103.5,2,No
INS,Production,Pipeline,8.57,4.05,5.6,9.1,8.57,16.5,179.87,44.28,56.4,83.4,84.3,13:40,11/01/2014,115.2,2.38,No
INS,Production,Pipeline,10.1,5.13,6.43,10.7,10.1,18.5,166.08,38.61,52.9,47.5,51,15:20,11/01/2014,115.2,2,No
INS,Production,Pipeline,9.81,5.81,5.75,9.91,9.81,24.5,182.93,36.96,36,78.5,42.8,15:47,11/01/2014,109.5,3,No
INS,Production,Pipeline,5.56,7.78,7.87,10,7.87,18.5,180.25,41.91,80.6,80.9,68.1,13:59,17/01/2014,114.8,2.38,Yes
INS,Production,Pipeline,8.7,8.86,12,13,12,22.5,173.23,36.52,57.6,65.8,64.3,14:18,17/01/2014,117.2,3.13,No
INS,Production,Pipeline,10.8,11.8,10.5,14.9,11.8,26.5,162.55,31.58,50.4,77.1,41.4,14:38,17/01/2014,115.6,2.5,No
INS,Production,Pipeline,12.1,12,15.7,18.7,15.7,26.5,158.23,30.74,56.3,74.5,60.3,14:57,17/01/2014,110.9,2,No
INS,Production,Pipeline,12.3,8.19,17.7,18.4,17.7,19.5,155.36,35.18,117,117,63,14:31,24/01/2014,121.1,2.88,Yes
INS,Production,Pipeline,11.5,10.1,23.3,23.4,23.3,25.5,149,29.51,119,29.8,71.4,14:47,24/01/2014,127.1,2.38,No
INS,Production,Pipeline,15.3,17.4,25.9,28.1,25.9,27.5,145.9,27.82,47.9,110,102,15:01,24/01/2014,129.1,2.5,No
INS,Production,Pipeline,17.6,14.7,29.1,31,29.1,25.5,137,27.13,47.6,33.9,65.8,15:15,24/01/2014,113.5,3.75,No
INS,Production,Pipeline,8.97,8.35,11.8,12.3,11.8,20,157.73,35.27,54.3,76.5,92.6,16:20,11/02/2014,120.5,4.38,Yes
INS,Production,Pipeline,9.1,8.06,10.1,11.7,10.1,18,145.49,34.29,55.9,47.1,46.5,16:45,11/02/2014,114.4,10.5,No
INS,Production,Pipeline,18.4,16.7,20.3,23.1,20.3,25.5,129.84,25.71,57.1,42.6,46,17:09,11/02/2014,136.2,18.1,No
INS,Production,Pipeline,6.51,6.64,11,12,11,22.5,125.39,26.43,51.3,43,52.4,17:34,11/02/2014,125,9,No
INS,Production,Pipeline,7.43,5.43,8.92,9.63,8.92,22.5,125.51,26.46,38.6,28.3,39,11:44,12/02/2014,126.6,5.25,Yes
INS,Production,Pipeline,11.5,11.7,9.46,15.3,11.7,20.5,116.85,25.81,29.6,43,40.1,12:11,12/02/2014,119.7,6.38,No
W4282,Production,Pipeline,1.397,0.889,1.524,1.581,1.524,6.5,183.18,71.85,39,45.75,39,13:25,14/03/2014,118,6.75,Yes
W4282,Production,Pipeline,2.286,1.143,2.413,3.095,2.413,6.5,167.57,65.73,94.25,31.25,36.5,14:11,14/03/2014,114,21.75,No
W4282,Production,Pipeline,2.286,1.016,1.143,2.29,2.286,2.5,156.69,99.1,138.5,76,86,15:36,15/03/2014,114,17,Yes
W4282,Production,Pipeline,2.667,1.27,1.778,2.739,2.667,4.5,146.5,69.06,133.5,102,91.25,16:13,15/03/2014,114,16,No
W4282,Production,Pipeline,1.27,0.635,0.635,1.276,1.27,2.5,148.75,94.08,119,115.5,95.5,16:46,15/03/2014,106,12.5,No
W4282,Production,Pipeline,17.78,9.652,9.271,18.309,17.78,20.5,137.31,30.33,52.25,45.25,41.75,17:17,15/03/2014,114,3,No
W4282,Production,Pipeline,17.272,10.668,12.065,17.546,17.272,20.5,136.41,30.13,125.5,42,59,17:54,15/03/2014,116,3,No
W4282,Production,Pipeline,8.763,6.096,5.08,10.535,8.763,18.5,134.45,31.26,52.5,43,45.5,18:30,15/03/2014,118,6.5,No
INS,Production,Pipeline,10.3,6.57,13.9,14.4,13.9,20.5,123.02,27.17,51.3,74.4,61.8,14:11,19/03/2014,108,8.75,Yes
INS,Production,Pipeline,21.9,10.5,14,23.1,21.9,16.5,112.64,27.73,40,46.4,55.9,14:59,19/03/2014,113.3,3,No
INS,Production,Pipeline,12.7,5.7,12.1,13,12.7,18.5,133.14,30.95,45.6,45.8,83.9,14:40,4/04/2014,109,3,Yes
INS,Production,Pipeline,11.5,6.02,11.5,13.1,11.5,22.5,125.3,26.42,46.6,45.9,62.1,15:09,4/04/2014,114,5,No
